round,n-rock,n-paper,n-scissors,n-opp,n-mix
28300,20.0,75.0,58.0,90.0,257.0
28400,24.0,72.0,63.0,79.0,262.0
28500,25.0,65.0,67.0,83.0,260.0
28600,27.0,53.0,72.0,81.0,267.0
28700,28.0,49.0,78.0,85.0,260.0
28800,28.0,43.0,77.0,81.0,271.0
28900,33.0,39.0,68.0,83.0,277.0
29000,36.0,35.0,77.0,82.0,270.0
29100,40.0,27.0,81.0,76.0,276.0
29200,41.0,21.0,77.0,89.0,272.0
29300,49.0,18.0,78.0,77.0,278.0
29400,46.0,21.0,74.0,88.0,271.0
29500,53.0,17.0,79.0,80.0,271.0
29600,48.0,23.0,79.0,87.0,263.0
29700,50.0,14.0,79.0,84.0,273.0
29800,63.0,16.0,64.0,84.0,273.0
29900,60.0,18.0,67.0,82.0,273.0
30000,65.0,13.0,64.0,83.0,275.0
30100,63.0,23.0,62.0,87.0,265.0
30200,67.0,24.0,49.0,91.0,269.0
30300,75.0,21.0,35.0,91.0,278.0
30400,75.0,28.0,37.0,90.0,270.0
30500,71.0,30.0,32.0,97.0,270.0
30600,78.0,33.0,25.0,96.0,268.0
30700,76.0,33.0,22.0,100.0,269.0
30800,76.0,33.0,22.0,103.0,266.0
30900,73.0,38.0,17.0,94.0,278.0
31000,72.0,38.0,25.0,100.0,265.0
31100,79.0,41.0,15.0,102.0,263.0
31200,79.0,30.0,22.0,107.0,262.0
31300,74.0,43.0,12.0,98.0,273.0
31400,76.0,40.0,14.0,102.0,268.0
31500,65.0,49.0,22.0,104.0,260.0
31600,60.0,50.0,21.0,96.0,273.0
31700,61.0,54.0,14.0,101.0,270.0
31800,50.0,57.0,23.0,94.0,276.0
31900,40.0,55.0,15.0,105.0,285.0
32000,31.0,61.0,27.0,110.0,271.0
32100,33.0,58.0,23.0,107.0,279.0
32200,33.0,62.0,34.0,100.0,271.0
32300,26.0,62.0,27.0,104.0,281.0
32400,26.0,68.0,39.0,100.0,267.0
32500,25.0,60.0,31.0,111.0,273.0
32600,20.0,60.0,41.0,108.0,271.0
32700,26.0,63.0,44.0,99.0,268.0
32800,20.0,63.0,48.0,103.0,266.0
32900,22.0,62.0,47.0,106.0,263.0
33000,22.0,49.0,53.0,104.0,272.0
33100,20.0,53.0,58.0,102.0,267.0
33200,24.0,46.0,62.0,102.0,266.0
33300,24.0,42.0,53.0,104.0,277.0
33400,22.0,48.0,51.0,108.0,271.0
33500,21.0,39.0,54.0,112.0,274.0
33600,23.0,41.0,53.0,104.0,279.0
33700,20.0,38.0,60.0,107.0,275.0
33800,28.0,33.0,60.0,100.0,279.0
33900,32.0,28.0,65.0,107.0,268.0
34000,35.0,26.0,61.0,108.0,270.0
34100,37.0,26.0,67.0,93.0,277.0
34200,42.0,22.0,66.0,97.0,273.0
34300,40.0,23.0,68.0,107.0,262.0
34400,39.0,17.0,62.0,105.0,277.0
34500,42.0,20.0,66.0,105.0,267.0
34600,44.0,20.0,66.0,103.0,267.0
34700,42.0,25.0,66.0,101.0,266.0
34800,51.0,23.0,64.0,94.0,268.0
34900,56.0,23.0,68.0,85.0,268.0
35000,52.0,21.0,60.0,87.0,280.0
35100,53.0,24.0,47.0,100.0,276.0
35200,58.0,29.0,55.0,83.0,275.0
35300,57.0,20.0,53.0,87.0,283.0
35400,61.0,24.0,49.0,90.0,276.0
35500,64.0,28.0,43.0,93.0,272.0
35600,56.0,28.0,36.0,102.0,278.0
35700,64.0,38.0,33.0,96.0,269.0
35800,61.0,36.0,31.0,97.0,275.0
35900,61.0,34.0,30.0,98.0,277.0
36000,71.0,29.0,30.0,94.0,276.0
36100,68.0,39.0,26.0,97.0,270.0
36200,67.0,33.0,25.0,97.0,278.0
36300,66.0,42.0,25.0,93.0,274.0
36400,64.0,34.0,30.0,92.0,280.0
36500,59.0,38.0,28.0,86.0,289.0
36600,61.0,41.0,24.0,84.0,290.0
36700,58.0,42.0,21.0,90.0,289.0
36800,54.0,43.0,20.0,89.0,294.0
36900,54.0,43.0,27.0,93.0,283.0
37000,52.0,41.0,29.0,93.0,285.0
37100,48.0,39.0,30.0,92.0,291.0
37200,44.0,49.0,26.0,97.0,284.0
37300,42.0,45.0,27.0,103.0,283.0
37400,39.0,46.0,33.0,91.0,291.0
37500,49.0,43.0,29.0,102.0,277.0
37600,43.0,49.0,28.0,100.0,280.0
37700,36.0,53.0,35.0,96.0,280.0
37800,42.0,52.0,34.0,100.0,272.0
37900,37.0,43.0,46.0,91.0,283.0
38000,44.0,54.0,37.0,89.0,276.0
38100,39.0,55.0,42.0,83.0,281.0
38200,45.0,55.0,39.0,82.0,279.0
38300,46.0,49.0,37.0,82.0,286.0
38400,40.0,54.0,49.0,84.0,273.0
38500,35.0,49.0,39.0,97.0,280.0
38600,36.0,56.0,39.0,83.0,286.0
38700,39.0,58.0,38.0,87.0,278.0
38800,39.0,52.0,35.0,94.0,280.0
38900,37.0,47.0,45.0,82.0,289.0
39000,36.0,55.0,43.0,86.0,280.0
39100,38.0,52.0,41.0,90.0,279.0
39200,43.0,39.0,53.0,92.0,273.0
39300,43.0,42.0,46.0,84.0,285.0
39400,39.0,44.0,44.0,93.0,280.0
39500,38.0,39.0,51.0,81.0,291.0
39600,37.0,45.0,53.0,91.0,274.0
39700,41.0,35.0,57.0,85.0,282.0
39800,44.0,43.0,46.0,89.0,278.0
39900,46.0,39.0,44.0,92.0,279.0
40000,47.0,34.0,53.0,98.0,268.0
40100,44.0,36.0,51.0,105.0,264.0
40200,48.0,31.0,47.0,95.0,279.0
40300,50.0,37.0,46.0,91.0,276.0
40400,45.0,28.0,50.0,95.0,282.0
40500,50.0,42.0,39.0,94.0,275.0
40600,45.0,43.0,47.0,96.0,269.0
40700,45.0,38.0,45.0,91.0,281.0
40800,46.0,35.0,45.0,89.0,285.0
40900,48.0,36.0,46.0,93.0,277.0
41000,51.0,41.0,47.0,92.0,269.0
41100,48.0,41.0,52.0,98.0,261.0
41200,53.0,38.0,40.0,92.0,277.0
