id,hostname,planet_letter,planet_name,discovery_method,orbital_period,planet_jupiter_mass
558,HD 192310,b,HD 192310 b,Radial Velocity,74.72,0.0532
559,HD 192310,c,HD 192310 c,Radial Velocity,525.8,0.076
560,HD 192699,b,HD 192699 b,Radial Velocity,340.94,2.096
561,HD 195019,b,HD 195019 b,Radial Velocity,18.20132,3.98
562,HD 196050,b,HD 196050 b,Radial Velocity,1378,3.18
563,HD 196067,b,HD 196067 b,Radial Velocity,3638,6.9
564,HD 196885,b,HD 196885 b,Radial Velocity,1333,2.58
565,HD 197037,b,HD 197037 b,Radial Velocity,1035.7,0.79
566,HD 19994,b,HD 19994 b,Radial Velocity,466.2,1.37
567,HD 20003,b,HD 20003 b,Radial Velocity,11.8482,0.0367
568,HD 20003,c,HD 20003 c,Radial Velocity,33.9239,0.0454
569,HD 200964,b,HD 200964 b,Radial Velocity,606.3,1.599
570,HD 200964,c,HD 200964 c,Radial Velocity,852.5,1.214
571,HD 202206,c,HD 202206 c,Radial Velocity,1260,17.9
572,HD 202696,b,HD 202696 b,Radial Velocity,517.8,1.996
573,HD 202696,c,HD 202696 c,Radial Velocity,946.6,1.864
574,HD 202772 A,b,HD 202772 A b,Transit,3.308958,1.017
575,HD 203030,b,HD 203030 b,Imaging,,24.09
576,HD 203473,b,HD 203473 b,Radial Velocity,1552.9,7.8
577,HD 2039,b,HD 2039 b,Radial Velocity,1120,6.29
578,HD 204313,b,HD 204313 b,Radial Velocity,1920.09998,3.46
579,HD 204313,c,HD 204313 c,Radial Velocity,34.905,0.0553
580,HD 204941,b,HD 204941 b,Radial Velocity,1733,0.23
581,HD 205739,b,HD 205739 b,Radial Velocity,279.8,1.37
582,HD 206255,b,HD 206255 b,Radial Velocity,96.045,0.1076
583,HD 206610,b,HD 206610 b,Radial Velocity,673.2,2.036
584,HD 20781,b,HD 20781 b,Radial Velocity,5.3135,0.0061
585,HD 20781,c,HD 20781 c,Radial Velocity,13.8905,0.0168
586,HD 20781,d,HD 20781 d,Radial Velocity,29.158,0.0334
587,HD 20781,e,HD 20781 e,Radial Velocity,85.5073,0.0442
588,HD 20782,b,HD 20782 b,Radial Velocity,597.0643,1.4878
589,HD 207832,b,HD 207832 b,Radial Velocity,160.07,0.56
590,HD 207832,c,HD 207832 c,Radial Velocity,1155.7,0.73
591,HD 20794,b,HD 20794 b,Radial Velocity,18.315,0.0085
592,HD 20794,c,HD 20794 c,Radial Velocity,40.114,0.0076
593,HD 20794,d,HD 20794 d,Radial Velocity,90.309,0.015
594,HD 20794,e,HD 20794 e,Radial Velocity,147.02,0.01501
595,HD 208487,b,HD 208487 b,Radial Velocity,130.08,0.52
596,HD 208527,b,HD 208527 b,Radial Velocity,875.5,9.9
597,HD 20868,b,HD 20868 b,Radial Velocity,380.85001,1.25
598,HD 208897,b,HD 208897 b,Radial Velocity,352.7,1.4
599,HD 209458,b,HD 209458 b,Radial Velocity,3.52474859,0.73
600,HD 210193,b,HD 210193 b,Radial Velocity,649.918,0.4817
601,HD 210277,b,HD 210277 b,Radial Velocity,442.19,1.29
602,HD 210702,b,HD 210702 b,Radial Velocity,354.1,1.808
603,HD 211810,b,HD 211810 b,Radial Velocity,1558,0.67
604,HD 211970,b,HD 211970 b,Radial Velocity,25.201,0.0409
605,HD 212301,b,HD 212301 b,Radial Velocity,2.24571,0.51
606,HD 212771,b,HD 212771 b,Radial Velocity,380.7,2.39
607,HD 213240,b,HD 213240 b,Radial Velocity,882.70001,5.58
608,HD 21411,b,HD 21411 b,Radial Velocity,84.288,0.20734
609,HD 214823,b,HD 214823 b,Radial Velocity,1854.4,20.3
610,HD 215152,b,HD 215152 b,Radial Velocity,5.75999,0.00572
611,HD 215152,c,HD 215152 c,Radial Velocity,7.28243,0.00541
612,HD 215152,d,HD 215152 d,Radial Velocity,10.86499,0.00881
613,HD 215152,e,HD 215152 e,Radial Velocity,25.1967,0.00905
614,HD 215497,b,HD 215497 b,Radial Velocity,3.93404,0.02
615,HD 215497,c,HD 215497 c,Radial Velocity,567.94,0.33
616,HD 216435,b,HD 216435 b,Radial Velocity,1311,1.26
617,HD 216437,b,HD 216437 b,Radial Velocity,1334.28,2.223
618,HD 216536,b,HD 216536 b,Radial Velocity,148.60001,1.05
619,HD 216770,b,HD 216770 b,Radial Velocity,118.45,0.57
620,HD 21693,b,HD 21693 b,Radial Velocity,22.6786,0.0259
621,HD 21693,c,HD 21693 c,Radial Velocity,53.7357,0.0547
622,HD 217107,b,HD 217107 b,Radial Velocity,7.12682,1.3
623,HD 217107,c,HD 217107 c,Radial Velocity,4270,2.6
624,GJ 143,c,HD 21749 c,Transit,7.78993,0.01164
625,HD 217786,b,HD 217786 b,Radial Velocity,1319,13
626,HD 217850,b,HD 217850 b,Radial Velocity,3501.3,21.6
627,HD 218566,b,HD 218566 b,Radial Velocity,225.7,0.2
628,HD 219077,b,HD 219077 b,Radial Velocity,5501,10.39
629,HD 219134,b,HD 219134 b,Radial Velocity,3.092926,0.01491
630,HD 219134,c,HD 219134 c,Radial Velocity,6.76458,0.01372
631,HD 219134,d,HD 219134 d,Radial Velocity,46.859,0.05088
632,HD 219134,f,HD 219134 f,Radial Velocity,22.717,0.02297
633,HD 219134,g,HD 219134 g,Radial Velocity,94.2,0.034
634,HD 219134,h,HD 219134 h,Radial Velocity,2247,0.34
635,HD 219415,b,HD 219415 b,Radial Velocity,2093.3,1
636,HD 219666,b,HD 219666 b,Transit,6.03607,0.05223
637,HD 219828,b,HD 219828 b,Radial Velocity,3.83492,0.066
638,HD 219828,c,HD 219828 c,Radial Velocity,4682,14.6
639,HD 220074,b,HD 220074 b,Radial Velocity,672.09998,16.64
640,HD 220689,b,HD 220689 b,Radial Velocity,2266.4,1.118
641,HD 220773,b,HD 220773 b,Radial Velocity,3724.7,1.45
642,HD 220842,b,HD 220842 b,Radial Velocity,218.47,3.18
643,HD 221287,b,HD 221287 b,Radial Velocity,456.1,3.09
644,HD 221416,b,HD 221416 b,Transit,14.2767,0.19
645,HD 221420,b,HD 221420 b,Radial Velocity,22482,9.7
646,HD 221585,b,HD 221585 b,Radial Velocity,1173,1.61
647,HD 222076,b,HD 222076 b,Radial Velocity,871,1.56
648,HD 222155,b,HD 222155 b,Radial Velocity,3999,2.12
649,HD 222582,b,HD 222582 b,Radial Velocity,572.38,8.37
650,HD 224538,b,HD 224538 b,Radial Velocity,1189.1,5.97
651,HD 224693,b,HD 224693 b,Radial Velocity,26.6904,0.7
652,HD 22781,b,HD 22781 b,Radial Velocity,528.07,13.65
653,HD 23079,b,HD 23079 b,Radial Velocity,730.59998,2.61
654,HD 23127,b,HD 23127 b,Radial Velocity,1211.17,1.527
655,HD 231701,b,HD 231701 b,Radial Velocity,141.63,1.13
656,HD 233604,b,HD 233604 b,Radial Velocity,192,6.575
657,HD 23472,b,HD 23472 b,Transit,17.667,0.05638
658,HD 23472,c,HD 23472 c,Transit,29.625,0.05405
659,HD 23596,b,HD 23596 b,Radial Velocity,1561,9.03
660,HD 238914,b,HD 238914 b,Radial Velocity,4100,6
661,HD 240210,b,HD 240210 b,Radial Velocity,501.75,5.21
662,HD 240237,b,HD 240237 b,Radial Velocity,745.70001,15.89
663,HD 24040,b,HD 24040 b,Radial Velocity,3668,3.86
664,HD 24064,b,HD 24064 b,Radial Velocity,535.59998,12.89
665,HD 24085,b,HD 24085 b,Radial Velocity,2.0455,0.03713
666,HD 25015,b,HD 25015 b,Radial Velocity,6019.32,4.48
667,HD 25171,b,HD 25171 b,Radial Velocity,1802.29,0.915
668,HD 2638,b,HD 2638 b,Radial Velocity,3.4442,0.42
669,HD 2685,b,HD 2685 b,Transit,4.12688,1.17
670,HD 26965,b,HD 26965 b,Radial Velocity,42.378,0.02665
671,HD 27442,b,HD 27442 b,Radial Velocity,428.1,1.56
672,HD 27631,b,HD 27631 b,Radial Velocity,2198.14,1.494
673,HD 27894,b,HD 27894 b,Radial Velocity,18.02,0.665
674,HD 27894,c,HD 27894 c,Radial Velocity,36.07,0.162
675,HD 27894,d,HD 27894 d,Radial Velocity,5174,5.415
676,HD 28185,b,HD 28185 b,Radial Velocity,379,5.9
677,HD 28254,b,HD 28254 b,Radial Velocity,1116,1.16
678,HD 285507,b,HD 285507 b,Radial Velocity,6.0881,0.98
679,HD 285968,b,HD 285968 b,Radial Velocity,8.7836,0.026
680,HD 28678,b,HD 28678 b,Radial Velocity,380.2,1.542
681,HD 29021,b,HD 29021 b,Radial Velocity,1362.3,2.4
682,HD 290327,b,HD 290327 b,Radial Velocity,2443,2.43
683,HD 2952,b,HD 2952 b,Radial Velocity,311.60001,1.37
684,HD 30177,b,HD 30177 b,Radial Velocity,2527.83,8.622
685,HD 30177,c,HD 30177 c,Radial Velocity,11613,7.6
686,HD 30562,b,HD 30562 b,Radial Velocity,1157,1.22
687,HD 30669,b,HD 30669 b,Radial Velocity,1684,0.47
688,HD 30856,b,HD 30856 b,Radial Velocity,847,1.547
689,HD 31253,b,HD 31253 b,Radial Velocity,466,0.62
690,HD 31527,b,HD 31527 b,Radial Velocity,16.5535,0.0329
691,HD 31527,c,HD 31527 c,Radial Velocity,51.2053,0.0445
692,HD 31527,d,HD 31527 d,Radial Velocity,271.6737,0.0372
693,HD 3167,b,HD 3167 b,Transit,0.959624,
694,HD 3167,c,HD 3167 c,Transit,29.83832,
695,HD 3167,d,HD 3167 d,Radial Velocity,8.509,0.02171
696,HD 32518,b,HD 32518 b,Radial Velocity,157.54,3.04
697,HD 32963,b,HD 32963 b,Radial Velocity,2372,0.7
698,HD 330075,b,HD 330075 b,Radial Velocity,3.38773,0.48
699,HD 33142,b,HD 33142 b,Radial Velocity,326,1.385
700,HD 33142,c,HD 33142 c,Radial Velocity,834,5.97
701,HD 33283,b,HD 33283 b,Radial Velocity,18.1991,0.329
702,HD 33564,b,HD 33564 b,Radial Velocity,388,9.1
703,HD 33844,b,HD 33844 b,Radial Velocity,551.40002,2.01
704,HD 33844,c,HD 33844 c,Radial Velocity,916,1.75
705,HD 34445,b,HD 34445 b,Radial Velocity,1049,0.82
706,HD 34445,c,HD 34445 c,Radial Velocity,214.67,0.168
707,HD 34445,d,HD 34445 d,Radial Velocity,117.87,0.097
708,HD 34445,e,HD 34445 e,Radial Velocity,49.175,0.0529
709,HD 34445,f,HD 34445 f,Radial Velocity,676.8,0.119
710,HD 34445,g,HD 34445 g,Radial Velocity,5700,0.38
711,HD 35759,b,HD 35759 b,Radial Velocity,82.467,3.76
712,HD 3651,b,HD 3651 b,Radial Velocity,62.25,0.228
713,HD 37124,b,HD 37124 b,Radial Velocity,154.378,0.675
714,HD 37124,c,HD 37124 c,Radial Velocity,885.5,0.652
715,HD 37124,d,HD 37124 d,Radial Velocity,1862,0.696
716,HD 37605,b,HD 37605 b,Radial Velocity,55.01292,2.69
717,HD 37605,c,HD 37605 c,Radial Velocity,2720,3.19
718,HD 38283,b,HD 38283 b,Radial Velocity,363.20001,0.4
719,HD 38529,b,HD 38529 b,Radial Velocity,14.30944,0.797
720,HD 38529,c,HD 38529 c,Radial Velocity,2136.1,12.99
721,HD 38801,b,HD 38801 b,Radial Velocity,685.25,9.698
722,HD 39091,b,HD 39091 b,Radial Velocity,2093.07,10.02
723,HD 39855,b,HD 39855 b,Radial Velocity,3.2498,0.02674
724,HD 40307,b,HD 40307 b,Radial Velocity,4.3123,0.0126
725,HD 40307,c,HD 40307 c,Radial Velocity,9.6184,0.0208
726,HD 40307,d,HD 40307 d,Radial Velocity,20.432,0.0299
727,HD 40307,f,HD 40307 f,Radial Velocity,51.76,0.0164
