id,hostname,planet_letter,planet_name,discovery_method,orbital_period,planet_jupiter_mass
2043,Kepler-1540,b,Kepler-1540 b,Transit,125.4131177,
2044,Kepler-1541,b,Kepler-1541 b,Transit,8.40691199,
2045,Kepler-1542,b,Kepler-1542 b,Transit,3.95116882,
2046,Kepler-1542,c,Kepler-1542 c,Transit,2.89223021,
2047,Kepler-1542,d,Kepler-1542 d,Transit,5.99273738,
2048,Kepler-1542,e,Kepler-1542 e,Transit,5.10115756,
2049,Kepler-1543,b,Kepler-1543 b,Transit,6.96710269,
2050,Kepler-1544,b,Kepler-1544 b,Transit,168.811174,
2051,Kepler-1545,b,Kepler-1545 b,Transit,163.692349,
2052,Kepler-1546,b,Kepler-1546 b,Transit,19.5974971,
2053,Kepler-1547,b,Kepler-1547 b,Transit,0.69297968,
2054,Kepler-1548,b,Kepler-1548 b,Transit,124.828679,
2055,Kepler-1549,b,Kepler-1549 b,Transit,214.886545,
2056,Kepler-155,b,Kepler-155 b,Transit,5.931194,
2057,Kepler-155,c,Kepler-155 c,Transit,52.661793,
2058,Kepler-1550,b,Kepler-1550 b,Transit,225.582809,
2059,Kepler-1551,b,Kepler-1551 b,Transit,24.4973698,
2060,Kepler-1552,b,Kepler-1552 b,Transit,184.771853,
2061,Kepler-1553,b,Kepler-1553 b,Transit,4.24261881,
2062,Kepler-1554,b,Kepler-1554 b,Transit,198.088774,
2063,Kepler-1555,b,Kepler-1555 b,Transit,8.10501635,
2064,Kepler-1556,b,Kepler-1556 b,Transit,8.82713457,
2065,Kepler-1557,b,Kepler-1557 b,Transit,3.74032496,
2066,Kepler-1558,b,Kepler-1558 b,Transit,3.50470358,
2067,Kepler-1559,b,Kepler-1559 b,Transit,0.97191543,
2068,Kepler-156,b,Kepler-156 b,Transit,4.973456,
2069,Kepler-156,c,Kepler-156 c,Transit,15.906801,
2070,Kepler-1560,b,Kepler-1560 b,Transit,3.03195744,
2071,Kepler-1561,b,Kepler-1561 b,Transit,1.00520701,
2072,Kepler-1562,b,Kepler-1562 b,Transit,64.2737752,
2073,Kepler-1563,b,Kepler-1563 b,Transit,3.43276598,
2074,Kepler-1564,b,Kepler-1564 b,Transit,18.0540381,
2075,Kepler-1565,b,Kepler-1565 b,Transit,1.53818844,
2076,Kepler-1566,b,Kepler-1566 b,Transit,0.53991524,
2077,Kepler-1567,b,Kepler-1567 b,Transit,153.979578,
2078,Kepler-1568,b,Kepler-1568 b,Transit,20.925392,
2079,Kepler-1569,b,Kepler-1569 b,Transit,5.79180156,
2080,Kepler-157,b,Kepler-157 b,Transit,1.732342,
2081,Kepler-157,c,Kepler-157 c,Transit,13.5405,
2082,Kepler-157,d,Kepler-157 d,Transit,7.02573474,
2083,Kepler-1570,b,Kepler-1570 b,Transit,26.548955,
2084,Kepler-1571,b,Kepler-1571 b,Transit,3.38555488,
2085,Kepler-1572,b,Kepler-1572 b,Transit,5.49548621,
2086,Kepler-1573,b,Kepler-1573 b,Transit,2.6157554,
2087,Kepler-1574,b,Kepler-1574 b,Transit,6.9424334,
2088,Kepler-1575,b,Kepler-1575 b,Transit,2.55314213,
2089,Kepler-1576,b,Kepler-1576 b,Transit,6.98471973,
2090,Kepler-1577,b,Kepler-1577 b,Transit,6.30560247,
2091,Kepler-1578,b,Kepler-1578 b,Transit,1.45088691,
2092,Kepler-1579,b,Kepler-1579 b,Transit,0.84990789,
2093,Kepler-158,b,Kepler-158 b,Transit,16.709184,
2094,Kepler-158,c,Kepler-158 c,Transit,28.551383,
2095,Kepler-1580,b,Kepler-1580 b,Transit,56.6449279,
2096,Kepler-1581,b,Kepler-1581 b,Transit,6.28385491,
2097,Kepler-1582,b,Kepler-1582 b,Transit,4.83817712,
2098,Kepler-1583,b,Kepler-1583 b,Transit,9.32807355,
2099,Kepler-1584,b,Kepler-1584 b,Transit,13.3997099,
2100,Kepler-1585,b,Kepler-1585 b,Transit,3.5827463,
2101,Kepler-1586,b,Kepler-1586 b,Transit,15.6049212,
2102,Kepler-1587,b,Kepler-1587 b,Transit,9.4060467,
2103,Kepler-1588,b,Kepler-1588 b,Transit,7.84931739,
2104,Kepler-1589,b,Kepler-1589 b,Transit,0.99166527,
2105,Kepler-159,b,Kepler-159 b,Transit,10.139623,
2106,Kepler-159,c,Kepler-159 c,Transit,43.595792,
2107,Kepler-1590,b,Kepler-1590 b,Transit,7.61760804,
2108,Kepler-1591,b,Kepler-1591 b,Transit,8.18504949,
2109,Kepler-1592,b,Kepler-1592 b,Transit,3.05710069,
2110,Kepler-1593,b,Kepler-1593 b,Transit,174.509835,
2111,Kepler-1594,b,Kepler-1594 b,Transit,2.71603809,
2112,Kepler-1595,b,Kepler-1595 b,Transit,4.56380468,
2113,Kepler-1596,b,Kepler-1596 b,Transit,66.373379,
2114,Kepler-1597,b,Kepler-1597 b,Transit,2.94654179,
2115,Kepler-1598,b,Kepler-1598 b,Transit,4.34195123,
2116,Kepler-1599,b,Kepler-1599 b,Transit,122.363553,
2117,Kepler-16,b,Kepler-16 b,Transit,228.776,0.333
2118,Kepler-160,b,Kepler-160 b,Transit,4.309427,
2119,Kepler-160,c,Kepler-160 c,Transit,13.699087,
2120,Kepler-1600,b,Kepler-1600 b,Transit,386.370548,
2121,Kepler-1601,b,Kepler-1601 b,Transit,2.20921951,
2122,Kepler-1602,b,Kepler-1602 b,Transit,11.17931605,
2123,Kepler-1603,b,Kepler-1603 b,Transit,2.27163926,
2124,Kepler-1604,b,Kepler-1604 b,Transit,0.68368426,
2125,Kepler-1605,b,Kepler-1605 b,Transit,85.7565495,
2126,Kepler-1606,b,Kepler-1606 b,Transit,196.435224,
2127,Kepler-1607,b,Kepler-1607 b,Transit,13.6473676,
2128,Kepler-1608,b,Kepler-1608 b,Transit,16.4735686,
2129,Kepler-1609,b,Kepler-1609 b,Transit,114.34219,
2130,Kepler-161,b,Kepler-161 b,Transit,4.921355,
2131,Kepler-161,c,Kepler-161 c,Transit,7.06424,
2132,Kepler-1610,b,Kepler-1610 b,Transit,8.70181574,
2133,Kepler-1611,b,Kepler-1611 b,Transit,5.1762429,
2134,Kepler-1612,b,Kepler-1612 b,Transit,3.91795101,
2135,Kepler-1613,b,Kepler-1613 b,Transit,1.5184299,
2136,Kepler-1614,b,Kepler-1614 b,Transit,3.9466141,
2137,Kepler-1615,b,Kepler-1615 b,Transit,47.3126192,
2138,Kepler-1616,b,Kepler-1616 b,Transit,6.76284377,
2139,Kepler-1617,b,Kepler-1617 b,Transit,27.4785572,
2140,Kepler-1618,b,Kepler-1618 b,Transit,6.10826019,
2141,Kepler-1619,b,Kepler-1619 b,Transit,23.6225913,
2142,Kepler-162,b,Kepler-162 b,Transit,6.919798,
2143,Kepler-162,c,Kepler-162 c,Transit,19.446355,
2144,Kepler-1620,b,Kepler-1620 b,Transit,101.951829,
2145,Kepler-1621,b,Kepler-1621 b,Transit,92.263714,
2146,Kepler-1622,b,Kepler-1622 b,Transit,10.8118737,
2147,Kepler-1623,b,Kepler-1623 b,Transit,4.36128348,
2148,Kepler-1624,b,Kepler-1624 b,Transit,3.29030452,
2149,Kepler-1625,b,Kepler-1625 b,Transit,287.378949,
2150,Kepler-1626,b,Kepler-1626 b,Transit,4.13962966,
2151,Kepler-1627,b,Kepler-1627 b,Transit,7.20283653,
2152,Kepler-1628,b,Kepler-1628 b,Transit,76.378033,
2153,Kepler-1629,b,Kepler-1629 b,Transit,3.87595807,
2154,Kepler-163,b,Kepler-163 b,Transit,7.810937,
2155,Kepler-163,c,Kepler-163 c,Transit,21.347262,
2156,Kepler-1630,b,Kepler-1630 b,Transit,509.997402,
2157,Kepler-1631,b,Kepler-1631 b,Transit,4.09513932,
2158,Kepler-1632,b,Kepler-1632 b,Transit,448.303558,
2159,Kepler-1633,b,Kepler-1633 b,Transit,186.404271,
2160,Kepler-1634,b,Kepler-1634 b,Transit,374.876239,
2161,Kepler-1635,b,Kepler-1635 b,Transit,469.63111,
2162,Kepler-1636,b,Kepler-1636 b,Transit,425.47785,
2163,Kepler-1637,b,Kepler-1637 b,Transit,6.10960324,
2164,Kepler-1638,b,Kepler-1638 b,Transit,259.33683,
2165,Kepler-1639,b,Kepler-1639 b,Transit,9.878482,
2166,Kepler-164,b,Kepler-164 b,Transit,5.03503,
2167,Kepler-164,c,Kepler-164 c,Transit,10.945723,
2168,Kepler-164,d,Kepler-164 d,Transit,28.986769,
2169,Kepler-1640,b,Kepler-1640 b,Transit,7.5844126,
2170,Kepler-1641,b,Kepler-1641 b,Transit,19.672266,
2171,Kepler-1641,c,Kepler-1641 c,Transit,32.657212,
2172,Kepler-1642,b,Kepler-1642 b,Transit,12.2057513,
2173,Kepler-1642,c,Kepler-1642 c,Transit,6.6513802,
2174,Kepler-1643,b,Kepler-1643 b,Transit,5.34264507,
2175,Kepler-1644,b,Kepler-1644 b,Transit,21.0907758,
2176,Kepler-1645,b,Kepler-1645 b,Transit,16.1779561,
2177,Kepler-1646,b,Kepler-1646 b,Transit,4.48558383,
2178,Kepler-1647,b,Kepler-1647 b,Transit,1107.5923,1.51968
2179,Kepler-1649,b,Kepler-1649 b,Transit,8.68909,
2180,Kepler-165,b,Kepler-165 b,Transit,8.180848,
2181,Kepler-165,c,Kepler-165 c,Transit,15.31299,
2182,Kepler-1650,b,Kepler-1650 b,Transit,1.53818001,
2183,Kepler-1651,b,Kepler-1651 b,Transit,9.87863917,
2184,Kepler-1652,b,Kepler-1652 b,Transit,38.09722,
2185,Kepler-1653,b,Kepler-1653 b,Transit,140.2524,
2186,Kepler-1654,b,Kepler-1654 b,Transit,1047.8356,0.5
2187,Kepler-1655,b,Kepler-1655 b,Transit,11.8728787,0.01573
2188,Kepler-1656,b,Kepler-1656 b,Transit,31.578659,0.15291
2189,Kepler-1658,b,Kepler-1658 b,Transit,3.84937278,5.88
2190,Kepler-166,b,Kepler-166 b,Transit,7.650254,
2191,Kepler-166,c,Kepler-166 c,Transit,34.260281,
2192,Kepler-166,d,Kepler-166 d,Transit,1.55400393,
2193,Kepler-167,b,Kepler-167 b,Transit,4.3931632,
2194,Kepler-167,c,Kepler-167 c,Transit,7.406114,
2195,Kepler-167,d,Kepler-167 d,Transit,21.803855,
2196,Kepler-167,e,Kepler-167 e,Transit,1071.23228,
2197,Kepler-168,b,Kepler-168 b,Transit,4.425391,
2198,Kepler-168,c,Kepler-168 c,Transit,13.193242,
2199,Kepler-169,b,Kepler-169 b,Transit,3.250619,
2200,Kepler-169,c,Kepler-169 c,Transit,6.195469,
2201,Kepler-169,d,Kepler-169 d,Transit,8.348125,
2202,Kepler-169,e,Kepler-169 e,Transit,13.767102,
2203,Kepler-169,f,Kepler-169 f,Transit,87.090195,
2204,Kepler-17,b,Kepler-17 b,Transit,1.4857108,2.45
2205,Kepler-170,b,Kepler-170 b,Transit,7.930592,
2206,Kepler-170,c,Kepler-170 c,Transit,16.665863,
2207,Kepler-171,b,Kepler-171 b,Transit,4.166972,
2208,Kepler-171,c,Kepler-171 c,Transit,11.463462,
2209,Kepler-171,d,Kepler-171 d,Transit,39.595519,
2210,Kepler-172,b,Kepler-172 b,Transit,2.940309,
2211,Kepler-172,c,Kepler-172 c,Transit,6.388996,
2212,Kepler-172,d,Kepler-172 d,Transit,14.627119,
2213,Kepler-172,e,Kepler-172 e,Transit,35.118736,
2214,Kepler-173,b,Kepler-173 b,Transit,4.263742,
2215,Kepler-173,c,Kepler-173 c,Transit,8.005777,
2216,Kepler-174,b,Kepler-174 b,Transit,13.98179,
2217,Kepler-174,c,Kepler-174 c,Transit,44.000529,
2218,Kepler-174,d,Kepler-174 d,Transit,247.35373,
2219,Kepler-175,b,Kepler-175 b,Transit,11.903515,
2220,Kepler-175,c,Kepler-175 c,Transit,34.035257,
2221,Kepler-176,b,Kepler-176 b,Transit,5.433074,
2222,Kepler-176,c,Kepler-176 c,Transit,12.759712,
2223,Kepler-176,d,Kepler-176 d,Transit,25.751974,
2224,Kepler-176,e,Kepler-176 e,Transit,51.16579,
2225,Kepler-177,b,Kepler-177 b,Transit,36.855,0.006
2226,Kepler-177,c,Kepler-177 c,Transit,49.412,0.024
2227,Kepler-178,b,Kepler-178 b,Transit,9.576694,
2228,Kepler-178,c,Kepler-178 c,Transit,20.552802,
2229,Kepler-178,d,Kepler-178 d,Transit,96.678988,
2230,Kepler-179,b,Kepler-179 b,Transit,2.735926,
2231,Kepler-179,c,Kepler-179 c,Transit,6.40013,
2232,Kepler-18,b,Kepler-18 b,Transit,3.504725,0.022
2233,Kepler-18,c,Kepler-18 c,Transit,7.64159,0.054
2234,Kepler-18,d,Kepler-18 d,Transit,14.85888,0.052
2235,Kepler-180,b,Kepler-180 b,Transit,13.817124,
2236,Kepler-180,c,Kepler-180 c,Transit,41.885775,
2237,Kepler-181,b,Kepler-181 b,Transit,3.137873,
2238,Kepler-181,c,Kepler-181 c,Transit,4.302149,
2239,Kepler-182,b,Kepler-182 b,Transit,9.825792,
2240,Kepler-182,c,Kepler-182 c,Transit,20.684342,
2241,Kepler-183,b,Kepler-183 b,Transit,5.687945,
2242,Kepler-183,c,Kepler-183 c,Transit,11.637071,
2243,Kepler-184,b,Kepler-184 b,Transit,10.687576,
2244,Kepler-184,c,Kepler-184 c,Transit,20.303005,
2245,Kepler-184,d,Kepler-184 d,Transit,29.022358,
2246,Kepler-185,b,Kepler-185 b,Transit,1.6329,
2247,Kepler-185,c,Kepler-185 c,Transit,20.729042,
2248,Kepler-186,b,Kepler-186 b,Transit,3.8867907,
2249,Kepler-186,c,Kepler-186 c,Transit,7.267302,
2250,Kepler-186,d,Kepler-186 d,Transit,13.342996,
2251,Kepler-186,e,Kepler-186 e,Transit,22.407704,
2252,Kepler-186,f,Kepler-186 f,Transit,129.9441,
2253,Kepler-187,b,Kepler-187 b,Transit,4.938864,
2254,Kepler-187,c,Kepler-187 c,Transit,10.640263,
2255,Kepler-188,b,Kepler-188 b,Transit,2.061897,
2256,Kepler-188,c,Kepler-188 c,Transit,5.996553,
2257,Kepler-189,b,Kepler-189 b,Transit,10.399931,
2258,Kepler-189,c,Kepler-189 c,Transit,20.134866,
2259,Kepler-19,b,Kepler-19 b,Transit,9.28716,0.02643
2260,Kepler-19,c,Kepler-19 c,Transit Timing Variations,28.731,0.04122
2261,Kepler-19,d,Kepler-19 d,Radial Velocity,62.95,0.07079
2262,Kepler-190,b,Kepler-190 b,Transit,2.019999,
2263,Kepler-190,c,Kepler-190 c,Transit,3.763024,
2264,Kepler-191,b,Kepler-191 b,Transit,9.939632,
2265,Kepler-191,c,Kepler-191 c,Transit,17.738506,
2266,Kepler-191,d,Kepler-191 d,Transit,5.94504102,
2267,Kepler-192,b,Kepler-192 b,Transit,9.926746,
2268,Kepler-192,c,Kepler-192 c,Transit,21.2234,
2269,Kepler-192,d,Kepler-192 d,Transit,6.47027579,
2270,Kepler-193,b,Kepler-193 b,Transit,11.38848,
2271,Kepler-193,c,Kepler-193 c,Transit,50.697494,
2272,Kepler-194,b,Kepler-194 b,Transit,2.092281,
2273,Kepler-194,c,Kepler-194 c,Transit,17.308032,
2274,Kepler-194,d,Kepler-194 d,Transit,52.814973,
2275,Kepler-195,b,Kepler-195 b,Transit,8.307872,
2276,Kepler-195,c,Kepler-195 c,Transit,34.096863,
2277,Kepler-196,b,Kepler-196 b,Transit,20.739886,
2278,Kepler-196,c,Kepler-196 c,Transit,47.427737,
2279,Kepler-197,b,Kepler-197 b,Transit,5.599308,
2280,Kepler-197,c,Kepler-197 c,Transit,10.349695,
2281,Kepler-197,d,Kepler-197 d,Transit,15.677563,
2282,Kepler-197,e,Kepler-197 e,Transit,25.209715,
2283,Kepler-198,b,Kepler-198 b,Transit,17.790037,
2284,Kepler-198,c,Kepler-198 c,Transit,49.567416,
2285,Kepler-198,d,Kepler-198 d,Transit,1.31184443,
2286,Kepler-199,b,Kepler-199 b,Transit,23.637604,
2287,Kepler-199,c,Kepler-199 c,Transit,67.093408,
2288,Kepler-20,b,Kepler-20 b,Transit,3.69611525,0.03052
2289,Kepler-20,c,Kepler-20 c,Transit,10.85409089,0.04012
2290,Kepler-20,d,Kepler-20 d,Transit,77.61130017,0.03168
2291,Kepler-20,e,Kepler-20 e,Transit,6.09852281,
2292,Kepler-20,f,Kepler-20 f,Transit,19.57758478,
2293,Kepler-20,g,Kepler-20 g,Radial Velocity,34.94,0.0628
2294,Kepler-200,b,Kepler-200 b,Transit,8.594805,
2295,Kepler-200,c,Kepler-200 c,Transit,10.222157,
2296,Kepler-201,b,Kepler-201 b,Transit,25.672083,
2297,Kepler-201,c,Kepler-201 c,Transit,151.884058,
2298,Kepler-202,b,Kepler-202 b,Transit,4.069427,
2299,Kepler-202,c,Kepler-202 c,Transit,16.282493,
2300,Kepler-203,b,Kepler-203 b,Transit,3.162697,
2301,Kepler-203,c,Kepler-203 c,Transit,5.370647,
2302,Kepler-203,d,Kepler-203 d,Transit,11.32972,
2303,Kepler-204,b,Kepler-204 b,Transit,14.400974,
2304,Kepler-204,c,Kepler-204 c,Transit,25.660593,
2305,Kepler-205,b,Kepler-205 b,Transit,2.75564,
2306,Kepler-205,c,Kepler-205 c,Transit,20.306546,
2307,Kepler-206,b,Kepler-206 b,Transit,7.781987,
2308,Kepler-206,c,Kepler-206 c,Transit,13.137471,
2309,Kepler-206,d,Kepler-206 d,Transit,23.44281,
2310,Kepler-207,b,Kepler-207 b,Transit,1.611865,
2311,Kepler-207,c,Kepler-207 c,Transit,3.071571,
2312,Kepler-207,d,Kepler-207 d,Transit,5.868075,
2313,Kepler-208,b,Kepler-208 b,Transit,4.22864,
2314,Kepler-208,c,Kepler-208 c,Transit,7.466623,
2315,Kepler-208,d,Kepler-208 d,Transit,11.131786,
2316,Kepler-208,e,Kepler-208 e,Transit,16.259458,
2317,Kepler-209,b,Kepler-209 b,Transit,16.087845,
2318,Kepler-209,c,Kepler-209 c,Transit,41.749882,
2319,Kepler-21,b,Kepler-21 b,Transit,2.78578,0.01598
2320,Kepler-210,b,Kepler-210 b,Transit,2.453234,
2321,Kepler-210,c,Kepler-210 c,Transit,7.972513,
2322,Kepler-211,b,Kepler-211 b,Transit,4.138575,
2323,Kepler-211,c,Kepler-211 c,Transit,6.04045,
2324,Kepler-212,b,Kepler-212 b,Transit,16.257582,
2325,Kepler-212,c,Kepler-212 c,Transit,31.805174,
2326,Kepler-213,b,Kepler-213 b,Transit,2.46236,
2327,Kepler-213,c,Kepler-213 c,Transit,4.822962,
2328,Kepler-214,b,Kepler-214 b,Transit,15.660544,
2329,Kepler-214,c,Kepler-214 c,Transit,28.7798,
2330,Kepler-215,b,Kepler-215 b,Transit,9.360672,
2331,Kepler-215,c,Kepler-215 c,Transit,14.667108,
2332,Kepler-215,d,Kepler-215 d,Transit,30.864423,
2333,Kepler-215,e,Kepler-215 e,Transit,68.16101,
2334,Kepler-216,b,Kepler-216 b,Transit,7.693641,
2335,Kepler-216,c,Kepler-216 c,Transit,17.406669,
2336,Kepler-217,b,Kepler-217 b,Transit,5.374943,
2337,Kepler-217,c,Kepler-217 c,Transit,8.586004,
2338,Kepler-217,d,Kepler-217 d,Transit,3.88689525,
2339,Kepler-218,b,Kepler-218 b,Transit,3.619337,
2340,Kepler-218,c,Kepler-218 c,Transit,44.699576,
2341,Kepler-218,d,Kepler-218 d,Transit,124.5244647,
2342,Kepler-219,b,Kepler-219 b,Transit,4.585512,
2343,Kepler-219,c,Kepler-219 c,Transit,22.714613,
2344,Kepler-219,d,Kepler-219 d,Transit,47.903645,
2345,Kepler-22,b,Kepler-22 b,Transit,289.8623,0.113
2346,Kepler-220,b,Kepler-220 b,Transit,4.159807,
2347,Kepler-220,c,Kepler-220 c,Transit,9.034199,
2348,Kepler-220,d,Kepler-220 d,Transit,28.122397,
2349,Kepler-220,e,Kepler-220 e,Transit,45.902733,
2350,Kepler-221,b,Kepler-221 b,Transit,2.795906,
2351,Kepler-221,c,Kepler-221 c,Transit,5.690586,
2352,Kepler-221,d,Kepler-221 d,Transit,10.04156,
2353,Kepler-221,e,Kepler-221 e,Transit,18.369917,
2354,Kepler-222,b,Kepler-222 b,Transit,3.936981,
2355,Kepler-222,c,Kepler-222 c,Transit,10.08881,
2356,Kepler-222,d,Kepler-222 d,Transit,28.081912,
2357,Kepler-223,b,Kepler-223 b,Transit,7.38449,0.02328
2358,Kepler-223,c,Kepler-223 c,Transit,9.84564,0.01605
2359,Kepler-223,d,Kepler-223 d,Transit,14.78869,0.02517
2360,Kepler-223,e,Kepler-223 e,Transit,19.72567,0.0151
2361,Kepler-224,b,Kepler-224 b,Transit,3.132924,
2362,Kepler-224,c,Kepler-224 c,Transit,5.925003,
2363,Kepler-224,d,Kepler-224 d,Transit,11.349393,
2364,Kepler-224,e,Kepler-224 e,Transit,18.643577,
2365,Kepler-225,b,Kepler-225 b,Transit,6.738975,
2366,Kepler-225,c,Kepler-225 c,Transit,18.794234,
2367,Kepler-226,b,Kepler-226 b,Transit,3.940997,
2368,Kepler-226,c,Kepler-226 c,Transit,5.349555,
2369,Kepler-226,d,Kepler-226 d,Transit,8.109044,
2370,Kepler-227,b,Kepler-227 b,Transit,9.488015,
2371,Kepler-227,c,Kepler-227 c,Transit,54.418694,
2372,Kepler-228,b,Kepler-228 b,Transit,2.566546,
2373,Kepler-228,c,Kepler-228 c,Transit,4.134444,
2374,Kepler-228,d,Kepler-228 d,Transit,11.094286,
2375,Kepler-229,b,Kepler-229 b,Transit,6.252972,
2376,Kepler-229,c,Kepler-229 c,Transit,16.068638,
2377,Kepler-229,d,Kepler-229 d,Transit,41.194912,
2378,Kepler-23,b,Kepler-23 b,Transit,7.1073,0.8
2379,Kepler-23,c,Kepler-23 c,Transit,10.7421,2.7
2380,Kepler-23,d,Kepler-23 d,Transit,15.274299,
2381,Kepler-230,b,Kepler-230 b,Transit,32.625555,
2382,Kepler-230,c,Kepler-230 c,Transit,91.773242,
2383,Kepler-231,b,Kepler-231 b,Transit,10.065275,
2384,Kepler-231,c,Kepler-231 c,Transit,19.271566,
2385,Kepler-232,b,Kepler-232 b,Transit,4.431222,
2386,Kepler-232,c,Kepler-232 c,Transit,11.379349,
2387,Kepler-233,b,Kepler-233 b,Transit,8.472382,
2388,Kepler-233,c,Kepler-233 c,Transit,60.418955,
2389,Kepler-234,b,Kepler-234 b,Transit,2.711506,
2390,Kepler-234,c,Kepler-234 c,Transit,7.21205,
2391,Kepler-235,b,Kepler-235 b,Transit,3.340222,
2392,Kepler-235,c,Kepler-235 c,Transit,7.824904,
2393,Kepler-235,d,Kepler-235 d,Transit,20.060548,
2394,Kepler-235,e,Kepler-235 e,Transit,46.183669,
2395,Kepler-236,b,Kepler-236 b,Transit,8.295611,
2396,Kepler-236,c,Kepler-236 c,Transit,23.968127,
2397,Kepler-237,b,Kepler-237 b,Transit,4.715106,
2398,Kepler-237,c,Kepler-237 c,Transit,8.103636,
2399,Kepler-238,b,Kepler-238 b,Transit,2.090876,
2400,Kepler-238,c,Kepler-238 c,Transit,6.155557,
2401,Kepler-238,d,Kepler-238 d,Transit,13.233549,
2402,Kepler-238,e,Kepler-238 e,Transit,23.654,0.534
2403,Kepler-238,f,Kepler-238 f,Transit,50.447,0.042
2404,Kepler-239,b,Kepler-239 b,Transit,11.763051,
2405,Kepler-239,c,Kepler-239 c,Transit,56.228098,
2406,Kepler-24,b,Kepler-24 b,Transit,8.1453,1.6
2407,Kepler-24,c,Kepler-24 c,Transit,12.3335,1.6
2408,Kepler-24,d,Kepler-24 d,Transit,4.244384,
2409,Kepler-24,e,Kepler-24 e,Transit,18.998355,
2410,Kepler-240,b,Kepler-240 b,Transit,4.144495,
2411,Kepler-240,c,Kepler-240 c,Transit,7.953528,
2412,Kepler-241,b,Kepler-241 b,Transit,12.718092,
2413,Kepler-241,c,Kepler-241 c,Transit,36.065978,
2414,Kepler-242,b,Kepler-242 b,Transit,8.20395,
2415,Kepler-242,c,Kepler-242 c,Transit,14.496481,
2416,Kepler-243,b,Kepler-243 b,Transit,5.715442,
2417,Kepler-243,c,Kepler-243 c,Transit,20.026218,
2418,Kepler-244,b,Kepler-244 b,Transit,4.311792,
2419,Kepler-244,c,Kepler-244 c,Transit,9.767292,
2420,Kepler-244,d,Kepler-244 d,Transit,20.050401,
2421,Kepler-245,b,Kepler-245 b,Transit,7.49019,
2422,Kepler-245,c,Kepler-245 c,Transit,17.460812,
2423,Kepler-245,d,Kepler-245 d,Transit,36.277108,
2424,Kepler-245,e,Kepler-245 e,Transit,3.21982106,
2425,Kepler-246,b,Kepler-246 b,Transit,4.60182,
2426,Kepler-246,c,Kepler-246 c,Transit,11.187161,
2427,Kepler-247,b,Kepler-247 b,Transit,3.33616,
2428,Kepler-247,c,Kepler-247 c,Transit,9.439452,
2429,Kepler-247,d,Kepler-247 d,Transit,20.477912,
2430,Kepler-248,b,Kepler-248 b,Transit,6.308205,
2431,Kepler-248,c,Kepler-248 c,Transit,16.239494,
2432,Kepler-249,b,Kepler-249 b,Transit,3.306539,
2433,Kepler-249,c,Kepler-249 c,Transit,7.113702,
2434,Kepler-249,d,Kepler-249 d,Transit,15.368459,
2435,Kepler-25,b,Kepler-25 b,Transit,6.238297,0.0275
2436,Kepler-25,c,Kepler-25 c,Transit,12.7207,0.0479
2437,Kepler-25,d,Kepler-25 d,Radial Velocity,122.4,0.226
2438,Kepler-250,b,Kepler-250 b,Transit,4.148141,
2439,Kepler-250,c,Kepler-250 c,Transit,7.156804,
2440,Kepler-250,d,Kepler-250 d,Transit,17.648312,
2441,Kepler-251,b,Kepler-251 b,Transit,4.790936,
2442,Kepler-251,c,Kepler-251 c,Transit,16.514043,
2443,Kepler-251,d,Kepler-251 d,Transit,30.133001,
2444,Kepler-251,e,Kepler-251 e,Transit,99.640161,
2445,Kepler-252,b,Kepler-252 b,Transit,6.668391,
2446,Kepler-252,c,Kepler-252 c,Transit,10.848463,
2447,Kepler-253,b,Kepler-253 b,Transit,3.783986,
2448,Kepler-253,c,Kepler-253 c,Transit,10.281951,
2449,Kepler-253,d,Kepler-253 d,Transit,18.119869,
2450,Kepler-254,b,Kepler-254 b,Transit,5.826662,
2451,Kepler-254,c,Kepler-254 c,Transit,12.412183,
2452,Kepler-254,d,Kepler-254 d,Transit,18.746477,
2453,Kepler-255,b,Kepler-255 b,Transit,5.714606,
2454,Kepler-255,c,Kepler-255 c,Transit,9.946047,
2455,Kepler-255,d,Kepler-255 d,Transit,1.04562266,
2456,Kepler-256,b,Kepler-256 b,Transit,1.620493,
2457,Kepler-256,c,Kepler-256 c,Transit,3.38802,
2458,Kepler-256,d,Kepler-256 d,Transit,5.839172,
2459,Kepler-256,e,Kepler-256 e,Transit,10.681572,
2460,Kepler-257,b,Kepler-257 b,Transit,2.382667,
2461,Kepler-257,c,Kepler-257 c,Transit,6.581484,
2462,Kepler-257,d,Kepler-257 d,Transit,24.664551,
2463,Kepler-258,b,Kepler-258 b,Transit,13.19722,
2464,Kepler-258,c,Kepler-258 c,Transit,33.653079,
2465,Kepler-259,b,Kepler-259 b,Transit,8.115317,
2466,Kepler-259,c,Kepler-259 c,Transit,36.924931,
2467,Kepler-26,b,Kepler-26 b,Transit,12.28,0.01611
2468,Kepler-26,c,Kepler-26 c,Transit,17.2559,0.01951
2469,Kepler-26,d,Kepler-26 d,Transit,3.543919,
2470,Kepler-26,e,Kepler-26 e,Transit,46.827915,
2471,Kepler-260,b,Kepler-260 b,Transit,8.187399,
2472,Kepler-260,c,Kepler-260 c,Transit,76.050178,
2473,Kepler-261,b,Kepler-261 b,Transit,10.381227,
2474,Kepler-261,c,Kepler-261 c,Transit,24.570858,
2475,Kepler-262,b,Kepler-262 b,Transit,13.060855,
2476,Kepler-262,c,Kepler-262 c,Transit,21.853722,
